# https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-eni.html#AvailableIpPerENI
#
# Mapping is calculated in the bootstrap script depending on your CNI configuration.
#
# instance_type max_enis_per_instance max_ips_per_eni
a1.medium 2 4
a1.large 3 10
a1.xlarge 4 15
a1.2xlarge 4 15
a1.4xlarge 8 30
a1.metal 8 30
c1.medium 2 6
c1.xlarge 4 15
c3.large 3 10
c3.xlarge 4 15
c3.2xlarge 4 15
c3.4xlarge 8 30
c3.8xlarge 8 30
c4.large 3 10
c4.xlarge 4 15
c4.2xlarge 4 15
c4.4xlarge 8 30
c4.8xlarge 8 30
c5.large 3 10
c5.xlarge 4 15
c5.2xlarge 4 15
c5.4xlarge 8 30
c5.9xlarge 8 30
c5.12xlarge 8 30
c5.18xlarge 15 50
c5.24xlarge 15 50
c5.metal 15 50
c5a.large 3 10
c5a.xlarge 4 15
c5a.2xlarge 4 15
c5a.4xlarge 8 30
c5a.8xlarge 8 30
c5a.12xlarge 8 30
c5a.16xlarge 15 50
c5a.24xlarge 15 50
c5d.large 3 10
c5d.xlarge 4 15
c5d.2xlarge 4 15
c5d.4xlarge 8 30
c5d.9xlarge 8 30
c5d.12xlarge 8 30
c5d.18xlarge 15 50
c5d.24xlarge 15 50
c5d.metal 15 50
c5n.large 3 10
c5n.xlarge 4 15
c5n.2xlarge 4 15
c5n.4xlarge 8 30
c5n.9xlarge 8 30
c5n.18xlarge 15 50
c5n.metal 15 50
c6g.medium 2 4
c6g.large 3 10
c6g.xlarge 4 15
c6g.2xlarge 4 15
c6g.4xlarge 8 30
c6g.8xlarge 8 30
c6g.12xlarge 8 30
c6g.16xlarge 15 50
c6g.metal 15 50
cc2.8xlarge 8 30
cr1.8xlarge 8 30
d2.xlarge 4 15
d2.2xlarge 4 15
d2.4xlarge 8 30
d2.8xlarge 8 30
f1.2xlarge 4 15
f1.4xlarge 8 30
f1.16xlarge 8 50
g2.2xlarge 4 15
g2.8xlarge 8 30
g3s.xlarge 4 15
g3.4xlarge 8 30
g3.8xlarge 8 30
g3.16xlarge 15 50
g4dn.xlarge 3 10
g4dn.2xlarge 3 10
g4dn.4xlarge 3 10
g4dn.8xlarge 4 15
g4dn.12xlarge 8 30
g4dn.16xlarge 4 15
g4dn.metal 15 50
h1.2xlarge 4 15
h1.4xlarge 8 30
h1.8xlarge 8 30
h1.16xlarge 15 50
hs1.8xlarge 8 30
